Summary Statistics of Scaling Techniques,,,,
Variable,mean,std,min,max
Year,2012.35964912281,13.3417484312675,1992,2025
Robusta_Kiboko_Price,2283.45614035088,1789.62368685073,207,7750
FAQ_Price,4776.93859649123,3631.85895325978,400,15500
Arabica_Parchment_Price,5995.16666666667,4243.71789307998,459,14500
Drugar_Price,5500.21929824561,3869.17756635416,436,13250
Rainfall,137.747939473684,79.988951779631,19.85459,391.2958
Temperature,23.1315789473684,0.872217780456243,21.4,25.5
Average_Relative_Humidity,56.1418421052632,11.3520049740388,30.68,78.74
Average-Export-Price,1.97184210526316,1.01074717459651,0.85,5.03
Export_Price_Robusta,1.84456140350877,1.01376817474482,0.81,4.83
Export_Price_Arabica,2.68342105263158,1.12723707092436,1.22,5.4
Total_Export_Volume,392998.798245614,161861.379707123,171101,837915
Export_Value,52.2365789473684,42.55267278044,8.71,221.63
Robusta_Export_Volume,333624.140350877,147513.997198339,148938,785667
Robusta_Export_Value,42203494.6052632,38390271.9509789,7548012,208138678
Arabica_Export_Volume,59591.4912280702,30482.8523870448,13003,134974
Arabica_Export_Value,10667385.4122807,7984987.19261914,1067793,38494406
ICO_Composite_Price,130.024122807018,56.6686538941898,45.89,354.32
Year_minmax,0.616959064327485,0.404295407008106,0,1
Robusta_Kiboko_Price_minmax,0.275282532195529,0.237256222570691,0,1
FAQ_Price_minmax,0.28986348321134,0.24052046048078,0,1
Arabica_Parchment_Price_minmax,0.394285782114284,0.302237582300405,0,1
Drugar_Price_minmax,0.395209871878072,0.301949240389742,0,1
Rainfall_minmax,0.317394371706048,0.215347542561664,0,1
Temperature_minmax,0.422336328626445,0.212736044013718,0,1
Average_Relative_Humidity_minmax,0.529792802856079,0.23620484756635,0,1
Average-Export-Price_minmax,0.26838327877109,0.241805544161844,0,1
Export_Price_Robusta_minmax,0.257353582962381,0.252181137996224,0,1
Export_Price_Arabica_minmax,0.350100730294636,0.269673940412527,0,1
Total_Export_Volume_minmax,0.332773154501276,0.242738424368899,0,1
Export_Value_minmax,0.204426915965473,0.199852868591208,0,1
Robusta_Export_Volume_minmax,0.290054544949071,0.231674695511495,0,1
Robusta_Export_Value_minmax,0.172767174546712,0.191386133345701,0,1
Arabica_Export_Volume_minmax,0.381963673562324,0.249918852735854,0,1
Arabica_Export_Value_minmax,0.256491080619042,0.213350515918155,0,1
ICO_Composite_Price_minmax,0.272781904506752,0.183732626184839,0,1
Year_zscore,3.03850512002674E-16,1.00441503250505,-1.53274795584891,0.951611290124204
Robusta_Kiboko_Price_zscore,-1.01283504000891E-16,1.00441503250505,-1.16539794205339,3.06806334137315
FAQ_Price_zscore,2.72686356925477E-17,1.00441503250505,-1.2104718215231,2.96553478721742
Arabica_Parchment_Price_zscore,-8.57014264622928E-17,1.00441503250505,-1.31031542683853,2.01294776518479
Drugar_Price_zscore,-1.44134217232038E-16,1.00441503250505,-1.31464061905359,2.01179607344678
Rainfall_zscore,-2.25940124309681E-16,1.00441503250505,-1.48037759977114,3.18378072103923
Temperature_zscore,-1.76272252155398E-16,1.00441503250505,-1.99402484525867,2.7273896059769
Average_Relative_Humidity_zscore,-6.13544303082323E-17,1.00441503250505,-2.25284053559551,1.99946437200344
Average-Export-Price_zscore,1.1686558153949E-16,1.00441503250505,-1.11481397420008,3.03899910724351
Export_Price_Robusta_zscore,-3.66178822157069E-16,1.00441503250505,-1.02501642053944,2.9578945952721
Export_Price_Arabica_zscore,-2.02567008001783E-16,1.00441503250505,-1.30396891839459,2.42058463308529
Total_Export_Volume_zscore,-7.01193489236941E-17,1.00441503250505,-1.37696518243542,2.76088417172617
Export_Value_zscore,-1.1686558153949E-17,1.00441503250505,-1.02740315358876,3.99836925380934
Robusta_Export_Volume_zscore,1.55820775385987E-17,1.00441503250505,-1.25751819615019,3.07793600737208
Robusta_Export_Value_zscore,-2.72686356925477E-17,1.00441503250505,-0.906700732203489,4.34140692819204
Arabica_Export_Volume_zscore,-1.36343178462739E-17,1.00441503250505,-1.53509849856081,2.48386614340097
Arabica_Export_Value_zscore,8.95969458469425E-17,1.00441503250505,-1.20751288539682,3.50030339609913
ICO_Composite_Price_zscore,-3.97342977234267E-16,1.00441503250505,-1.49122260521277,3.97549853931923
